Name,sim_type,N,h,d,reg_param,rho_r,alpha,phi_c,theta,eta_f
Ive_comp_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05
Ive_comp_13_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,13,3.99732836365627e-05
