Name,N,h,d,reg_param,rho_r,phi_c,theta,eta_f,a,phi_rcp,phi_rlp,S0
Rauter_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5,3.99732836365627e-05,0.0509683995922528,0.63,0.53,0.31927542840705
Rauter_13_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,13,3.99732836365627e-05,0.0509683995922528,0.63,0.53,0.31927542840705
