Name,h,d,reg_param,rho_r,alpha,phi_c,theta,eta_f
Ive_da_13_deep.txt,0.04,1.43e-05,100000000,2.5,0.03924,0.585,13,3.99732836365627e-05
Ive_da_5_deep.txt,0.04,1.43e-05,100000000,2.5,0.03924,0.585,13,3.99732836365627e-05
